"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"13","Appeal (criminal) 3451 of 2022","Shreya Rao","State of Karnataka","2023-03-15","Justice P. Dubey, Justice V. Mehra","J U D G M E N T CRIMINAL APPEAL NO. 3451 OF 2022. The petitioner challenged her conviction for cyber fraud under the IT Act. The court found that the evidence did not conclusively prove her involvement. The appeal was allowed, and she was acquitted."
"14","Appeal (civil) 9021 of 2021","Adani Power Ltd.","Central Electricity Regulatory Commission","2022-05-06","Justice M. Suri, Justice A. Khandelwal","J U D G M E N T CIVIL APPEAL NO. 9021 OF 2021. The petitioner sought tariff revisions due to fuel cost escalation. The court found that the petitioner's claims were justified. The appeal was allowed, and the Commission was directed to revise tariffs accordingly."
"15","Appeal (criminal) 6510 of 2023","Arvind Khanna","State of Haryana","2024-01-25","Justice V. Kaul, Justice D. Prasad","J U D G M E N T CRIMINAL APPEAL NO. 6510 OF 2023. The petitioner challenged his conviction for hit-and-run under Section 304A IPC. The court upheld the conviction but reduced the sentence to two years imprisonment. The appeal was partly allowed."
"16","Appeal (civil) 2312 of 2018","Bharti Airtel Ltd.","Telecom Regulatory Authority of India (TRAI)","2019-07-10","Justice P. Mohan, Justice A. Sharma","J U D G M E N T CIVIL APPEAL NO. 2312 OF 2018. The petitioner contested a fine for unfair trade practices. The court found TRAI’s order reasonable and dismissed the appeal."
"17","Appeal (criminal) 4931 of 2020","Ravi Kiran","State of Punjab","2021-11-05","Justice D. Kapoor, Justice S. Tyagi","J U D G M E N T CRIMINAL APPEAL NO. 4931 OF 2020. The petitioner challenged his conviction for possession of illegal arms. The court noted procedural errors and set aside the conviction. The appeal was allowed."
"18","Appeal (civil) 8123 of 2019","Larsen & Toubro Ltd.","State of Tamil Nadu","2020-12-22","Justice K. Bhattacharya, Justice A. Prakash","J U D G M E N T CIVIL APPEAL NO. 8123 OF 2019. The petitioner appealed against an infrastructure tax levied by the state. The court held that the tax was unconstitutional. The appeal was allowed."
"19","Appeal (civil) 5601 of 2023","Tata Steel Ltd.","Ministry of Environment and Forests","2024-04-11","Justice M. Iqbal, Justice P. Krishnan","J U D G M E N T CIVIL APPEAL NO. 5601 OF 2023. The petitioner sought environmental clearance for a mining project. The court found that the clearance was correctly withheld and dismissed the appeal."
"20","Appeal (criminal) 7012 of 2021","Vikram Mehra","State of Uttar Pradesh","2022-02-10","Justice A. Tyagi, Justice R. Verma","J U D G M E N T CRIMINAL APPEAL NO. 7012 OF 2021. The petitioner challenged his conviction for theft under IPC Section 379. Considering lack of substantial evidence, the court allowed the appeal and set aside the conviction."
"21","Appeal (civil) 7821 of 2019","HDFC Bank Ltd.","Reserve Bank of India","2020-06-15","Justice S. Rao, Justice P. Mishra","J U D G M E N T CIVIL APPEAL NO. 7821 OF 2019. The petitioner challenged new guidelines on loan disbursals. The court upheld the RBI guidelines, dismissing the appeal."
"22","Appeal (criminal) 1102 of 2023","Rina Singh","State of Rajasthan","2023-12-05","Justice D. Kapoor, Justice M. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 1102 OF 2023. The petitioner challenged her conviction for dowry harassment. The court found the evidence insufficient and acquitted the petitioner."
"23","Appeal (civil) 6510 of 2022","Reliance Jio Infocomm Ltd.","Department of Telecommunications","2023-05-18","Justice P. Bhattacharya, Justice N. Tyagi","J U D G M E N T CIVIL APPEAL NO. 6510 OF 2022. The petitioner sought refund of excess spectrum charges. The appeal was dismissed as the court upheld the Department's calculations."
"24","Appeal (criminal) 9802 of 2020","Sanjay Patel","State of Gujarat","2021-09-09","Justice K. Rao, Justice V. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 9802 OF 2020. The petitioner contested his conviction for illegal possession of narcotics. The court upheld the conviction, dismissing the appeal."
"25","Appeal (civil) 3423 of 2018","Infosys Ltd.","Income Tax Department","2019-11-20","Justice A. Mehta, Justice V. Saxena","J U D G M E N T CIVIL APPEAL NO. 3423 OF 2018. The petitioner appealed against a tax assessment order. The court directed partial relief by reducing the disputed tax liability."
"26","Appeal (criminal) 7011 of 2021","Ankit Sharma","State of Madhya Pradesh","2022-03-22","Justice S. Narang, Justice P. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 7011 OF 2021. The petitioner challenged his conviction for assault under IPC Section 323. The court upheld the conviction but reduced the sentence."
"27","Appeal (civil) 4411 of 2020","Tata Motors Ltd.","State of West Bengal","2021-01-25","Justice D. Prasad, Justice R. Mohanty","J U D G M E N T CIVIL APPEAL NO. 4411 OF 2020. The petitioner challenged the cancellation of land allotted for a manufacturing plant. The court allowed the appeal, restoring the allotment."
"28","Appeal (criminal) 8120 of 2023","Neha Gupta","State of Delhi","2024-02-14","Justice P. Dubey, Justice M. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 8120 OF 2023. The petitioner appealed her conviction under the Prevention of Corruption Act. The court found procedural lapses in the investigation and allowed the appeal, acquitting her."
"29","Appeal (civil) 9901 of 2021","Amazon India Ltd.","Competition Commission of India","2022-08-16","Justice R. Saxena, Justice K. Verma","J U D G M E N T CIVIL APPEAL NO. 9901 OF 2021. The petitioner challenged a penalty imposed for anti-competitive practices. The court upheld the penalty, dismissing the appeal."
"30","Appeal (criminal) 8901 of 2023","Arjun Thakur","State of Maharashtra","2024-03-12","Justice R. Khanna, Justice P. Deshmukh","J U D G M E N T CRIMINAL APPEAL NO. 8901 OF 2023. The petitioner challenged his conviction for hit-and-run under IPC Section 304A. The court reduced the sentence considering his remorse and cooperation during the trial."
"31","Appeal (civil) 7110 of 2022","ITC Limited","Central Board of Indirect Taxes and Customs","2023-07-25","Justice S. Gupta, Justice N. Tyagi","J U D G M E N T CIVIL APPEAL NO. 7110 OF 2022. The petitioner contested a GST assessment order. The court granted partial relief, directing a reassessment in light of recent tax amendments."
"32","Appeal (criminal) 6121 of 2021","Pooja Mehta","State of Haryana","2022-05-13","Justice R. Singh, Justice D. Kapoor","J U D G M E N T CRIMINAL APPEAL NO. 6121 OF 2021. The petitioner challenged her conviction under the Domestic Violence Act. The appeal was dismissed, and the original order was upheld."
"33","Appeal (civil) 5109 of 2017","Larsen & Toubro Ltd.","Municipal Corporation of Mumbai","2018-12-11","Justice P. Ghosh, Justice V. Rao","J U D G M E N T CIVIL APPEAL NO. 5109 OF 2017. The petitioner challenged a property tax levy. The court held the levy to be within the corporation's jurisdiction and dismissed the appeal."
"34","Appeal (criminal) 4210 of 2020","Rajesh Nair","State of Kerala","2021-10-22","Justice K. Sharma, Justice S. Nair","J U D G M E N T CRIMINAL APPEAL NO. 4210 OF 2020. The petitioner appealed against his conviction for cyber fraud. The court upheld the conviction but reduced the quantum of fine."
"35","Appeal (civil) 3811 of 2021","Zomato Ltd.","Food Safety and Standards Authority of India","2022-01-14","Justice A. Roy, Justice V. Kapoor","J U D G M E N T CIVIL APPEAL NO. 3811 OF 2021. The petitioner challenged a compliance notice issued for hygiene violations. The court dismissed the appeal and upheld the notice."
"36","Appeal (criminal) 5321 of 2022","Karan Malhotra","State of Punjab","2023-06-20","Justice P. Tyagi, Justice N. Desai","J U D G M E N T CRIMINAL APPEAL NO. 5321 OF 2022. The petitioner was convicted for arms trafficking. The court upheld the conviction but modified the sentence based on the petitioner’s age and lack of prior offenses."
"37","Appeal (civil) 6780 of 2023","Bharti Airtel Ltd.","Telecom Regulatory Authority of India","2024-04-11","Justice D. Gupta, Justice S. Narayan","J U D G M E N T CIVIL APPEAL NO. 6780 OF 2023. The petitioner contested a penalty imposed for call drop violations. The court directed TRAI to reassess the fine, citing procedural lapses."
"38","Appeal (criminal) 4205 of 2020","Sneha Kumar","State of Bihar","2021-11-28","Justice R. Iyer, Justice P. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 4205 OF 2020. The petitioner challenged her conviction for abetting suicide. The court set aside the conviction due to insufficient evidence."
"39","Appeal (civil) 7710 of 2019","Flipkart Ltd.","Directorate General of GST Intelligence","2020-08-09","Justice A. Kumar, Justice N. Bose","J U D G M E N T CIVIL APPEAL NO. 7710 OF 2019. The petitioner appealed against a show-cause notice for GST evasion. The court remanded the matter for fresh consideration, citing lack of due process."
"40","Appeal (civil) 2291 of 2021","Tata Motors Ltd.","Union of India","2022-02-15","Justice M. Reddy, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 2291 OF 2021. The petitioner contested the disqualification of electric vehicles under certain subsidy schemes. The court directed the government to reconsider the eligibility criteria and passed interim relief for the petitioner."
"41","Appeal (criminal) 1143 of 2018","Siddharth Verma","State of Uttar Pradesh","2019-03-27","Justice V. Desai, Justice S. Bhushan","J U D G M E N T CRIMINAL APPEAL NO. 1143 OF 2018. The petitioner appealed his conviction for dowry harassment under IPC Section 498A. The court upheld the conviction but allowed a reduction in the sentence due to mitigating family circumstances."
"42","Appeal (civil) 3412 of 2023","HDFC Bank Ltd.","Reserve Bank of India","2024-01-12","Justice R. Malhotra, Justice T. Rao","J U D G M E N T CIVIL APPEAL NO. 3412 OF 2023. The petitioner challenged a penalty imposed for non-compliance with KYC norms. The court found procedural flaws in the RBI's order and ordered a fresh investigation."
"43","Appeal (criminal) 5211 of 2020","Amit Khanna","State of Delhi","2021-07-08","Justice N. Bose, Justice K. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 5211 OF 2020. The petitioner sought to overturn his conviction for financial fraud. The appeal was dismissed after the court found overwhelming evidence of his involvement."
"44","Appeal (civil) 8790 of 2022","Reliance Industries Ltd.","Competition Commission of India","2023-10-05","Justice P. Singh, Justice M. Rao","J U D G M E N T CIVIL APPEAL NO. 8790 OF 2022. The petitioner challenged a fine for anti-competitive practices. The court partially set aside the order, reducing the fine but upheld the finding of abuse of market dominance."
"45","Appeal (criminal) 7810 of 2021","Rohan Singh","State of Madhya Pradesh","2022-11-11","Justice D. Iyer, Justice N. Verma","J U D G M E N T CRIMINAL APPEAL NO. 7810 OF 2021. The petitioner challenged his conviction for culpable homicide under Section 304. The court dismissed the appeal, confirming the lower court’s judgment."
"46","Appeal (civil) 6023 of 2020","IndiGo Airlines","Directorate General of Civil Aviation","2021-08-17","Justice T. Kapoor, Justice P. Bhatt","J U D G M E N T CIVIL APPEAL NO. 6023 OF 2020. The petitioner contested an order suspending operations on safety grounds. The court directed conditional restoration of flight operations pending a safety review."
"47","Appeal (criminal) 4412 of 2023","Sameer Qureshi","State of Rajasthan","2024-06-05","Justice V. Rao, Justice K. Tyagi","J U D G M E N T CRIMINAL APPEAL NO. 4412 OF 2023. The petitioner sought to quash his conviction for cattle smuggling. The court upheld the conviction but ordered leniency in sentencing."
"48","Appeal (civil) 7431 of 2019","Amazon India","Employees' Provident Fund Organization","2020-02-22","Justice M. Sinha, Justice T. Desai","J U D G M E N T CIVIL APPEAL NO. 7431 OF 2019. The petitioner challenged an EPF compliance notice. The court held the order valid but allowed additional time for compliance."
"49","Appeal (criminal) 8922 of 2022","Sanjay Dubey","State of Chhattisgarh","2023-12-18","Justice P. Deshmukh, Justice R. Narayan","J U D G M E N T CRIMINAL APPEAL NO. 8922 OF 2022. The petitioner appealed his conviction for possession of illegal firearms. The court dismissed the appeal, citing sufficient evidence against the petitioner."
"50","Appeal (civil) 9345 of 2021","Flipkart Pvt. Ltd.","Income Tax Department","2022-07-09","Justice A. Menon, Justice V. Kumar","J U D G M E N T CIVIL APPEAL NO. 9345 OF 2021. The petitioner contested the retrospective application of a tax provision leading to a demand notice. The court ruled in favor of the petitioner, holding that retrospective taxation in this case was unjustified."
"51","Appeal (criminal) 6712 of 2020","Ravi Mehta","State of Maharashtra","2021-05-21","Justice N. Saxena, Justice M. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6712 OF 2020. The appellant challenged his conviction for insider trading. The court dismissed the appeal, affirming the lower court’s findings and sentence."
"52","Appeal (civil) 4923 of 2019","ITC Ltd.","Central Pollution Control Board","2020-03-15","Justice P. Narang, Justice T. Singh","J U D G M E N T CIVIL APPEAL NO. 4923 OF 2019. The petitioner contested a pollution control notice on its factory. The court ordered a conditional stay, subject to compliance with new environmental guidelines."
"53","Appeal (criminal) 3721 of 2022","Priya Kapoor","State of Punjab","2023-09-14","Justice S. Bhalla, Justice D. Mahajan","J U D G M E N T CRIMINAL APPEAL NO. 3721 OF 2022. The appellant sought bail in a narcotics case. The court denied bail, citing the severity of the charges and the evidence available."
"54","Appeal (civil) 8132 of 2020","Infosys Ltd.","Employee State Insurance Corporation","2021-12-05","Justice R. Nair, Justice M. Khurana","J U D G M E N T CIVIL APPEAL NO. 8132 OF 2020. The petitioner challenged an ESIC compliance order. The court partially upheld the compliance order but allowed the petitioner an extension to comply."
"55","Appeal (criminal) 9231 of 2018","Vikas Rao","State of Karnataka","2019-08-10","Justice P. Malhotra, Justice R. Bhattacharya","J U D G M E N T CRIMINAL APPEAL NO. 9231 OF 2018. The appellant contested his conviction under Section 304A (causing death by negligence). The court reduced the sentence based on mitigating circumstances."
"56","Appeal (civil) 7101 of 2017","Ola Cabs","Transport Department, Karnataka","2018-11-23","Justice V. Rao, Justice M. Shekhar","J U D G M E N T CIVIL APPEAL NO. 7101 OF 2017. The petitioner challenged the cancellation of its operating license due to regulatory violations. The court granted a temporary stay on the cancellation pending further review."
"57","Appeal (criminal) 5802 of 2021","Aman Yadav","State of Haryana","2022-10-12","Justice T. Ghosh, Justice N. Deshmukh","J U D G M E N T CRIMINAL APPEAL NO. 5802 OF 2021. The petitioner sought to overturn his conviction for road rage. The court upheld the conviction but allowed parole due to his good behavior in custody."
"58","Appeal (civil) 8722 of 2023","Bharti Airtel","Telecom Regulatory Authority of India","2024-01-28","Justice K. Patel, Justice M. Rao","J U D G M E N T CIVIL APPEAL NO. 8722 OF 2023. The petitioner challenged a penalty for alleged violation of spectrum usage norms. The court remanded the matter back to the regulatory authority for reconsideration."
"59","Appeal (criminal) 4120 of 2016","Karan Bhatia","State of Himachal Pradesh","2017-05-04","Justice R. Khurana, Justice S. Bhagat","J U D G M E N T CRIMINAL APPEAL NO. 4120 OF 2016. The petitioner sought to challenge his sentence for illegal logging under forest laws. The court reduced the sentence, considering his cooperative behavior during the trial."
"60","Appeal (civil) 1043 of 2015","HDFC Bank Ltd.","Reserve Bank of India","2016-02-18","Justice A. Mishra, Justice V. Natarajan","J U D G M E N T CIVIL APPEAL NO. 1043 OF 2015. The appellant challenged a regulatory fine for improper KYC compliance. The court dismissed the appeal, holding that regulatory oversight is essential to prevent financial fraud."
"61","Appeal (criminal) 2081 of 2017","Ramesh Kumar","State of Bihar","2018-04-30","Justice P. Iyer, Justice M. Singh","J U D G M E N T CRIMINAL APPEAL NO. 2081 OF 2017. The appellant was convicted under the SC/ST Act for caste-based violence. The court upheld the conviction but reduced the sentence based on the facts presented."
"62","Appeal (civil) 5439 of 2022","Tata Motors Ltd.","Ministry of Heavy Industries","2023-06-15","Justice R. Shukla, Justice T. Bhatt","J U D G M E N T CIVIL APPEAL NO. 5439 OF 2022. The appellant disputed the rejection of a subsidy under the electric vehicle policy. The court directed the Ministry to reconsider the application based on revised guidelines."
"63","Appeal (criminal) 7302 of 2021","Manisha Gupta","State of Rajasthan","2022-08-25","Justice D. Kapoor, Justice M. Trivedi","J U D G M E N T CRIMINAL APPEAL NO. 7302 OF 2021. The appellant sought bail in a dowry harassment case. The court granted bail, citing insufficient evidence for continued detention."
"64","Appeal (civil) 6710 of 2020","Adani Ports Ltd.","Ministry of Shipping","2021-12-10","Justice A. Sharma, Justice P. Kulkarni","J U D G M E N T CIVIL APPEAL NO. 6710 OF 2020. The appellant challenged new port tariff regulations. The court upheld the regulations, finding them reasonable and within statutory authority."
"65","Appeal (criminal) 9201 of 2019","Anil Khatri","State of Uttar Pradesh","2020-07-05","Justice S. Bhargava, Justice T. Reddy","J U D G M E N T CRIMINAL APPEAL NO. 9201 OF 2019. The appellant contested his conviction in a bank robbery case. The court upheld the conviction but reduced the sentence based on his cooperation with law enforcement."
"66","Appeal (civil) 2154 of 2018","Jet Airways Ltd.","Directorate General of Civil Aviation","2019-09-20","Justice K. Deshmukh, Justice V. Rao","J U D G M E N T CIVIL APPEAL NO. 2154 OF 2018. The petitioner challenged a suspension order on operational safety grounds. The court partially lifted the suspension, allowing only domestic flights until further review."
"67","Appeal (criminal) 8721 of 2022","Rajesh Verma","State of Tamil Nadu","2023-11-15","Justice R. Sinha, Justice M. Nambiar","J U D G M E N T CRIMINAL APPEAL NO. 8721 OF 2022. The petitioner was convicted under the Wildlife Protection Act for smuggling animal parts. The court dismissed the appeal, reaffirming the need for strict enforcement of wildlife laws."
"68","Appeal (civil) 8015 of 2023","Vistara Airlines","Ministry of Civil Aviation","2024-03-22","Justice P. Nair, Justice M. Karthik","J U D G M E N T CIVIL APPEAL NO. 8015 OF 2023. The petitioner contested a denial of international flight permits. The court directed the Ministry to reconsider the application based on new bilateral agreements."
"69","Appeal (criminal) 6309 of 2020","Kiran Patil","State of Maharashtra","2021-04-05","Justice T. Chopra, Justice D. Sahu","J U D G M E N T CRIMINAL APPEAL NO. 6309 OF 2020. The appellant sought remission of his sentence in a road accident case. The court denied the plea, holding that negligence with fatal consequences demands accountability."
"60","Appeal (civil) 1043 of 2015","HDFC Bank Ltd.","Reserve Bank of India","2016-02-18","Justice A. Mishra, Justice V. Natarajan","J U D G M E N T CIVIL APPEAL NO. 1043 OF 2015. The appellant challenged a regulatory fine for improper KYC compliance. The court dismissed the appeal, holding that regulatory oversight is essential to prevent financial fraud."
"61","Appeal (criminal) 2081 of 2017","Ramesh Kumar","State of Bihar","2018-04-30","Justice P. Iyer, Justice M. Singh","J U D G M E N T CRIMINAL APPEAL NO. 2081 OF 2017. The appellant was convicted under the SC/ST Act for caste-based violence. The court upheld the conviction but reduced the sentence based on the facts presented."
"62","Appeal (civil) 5439 of 2022","Tata Motors Ltd.","Ministry of Heavy Industries","2023-06-15","Justice R. Shukla, Justice T. Bhatt","J U D G M E N T CIVIL APPEAL NO. 5439 OF 2022. The appellant disputed the rejection of a subsidy under the electric vehicle policy. The court directed the Ministry to reconsider the application based on revised guidelines."
"63","Appeal (criminal) 7302 of 2021","Manisha Gupta","State of Rajasthan","2022-08-25","Justice D. Kapoor, Justice M. Trivedi","J U D G M E N T CRIMINAL APPEAL NO. 7302 OF 2021. The appellant sought bail in a dowry harassment case. The court granted bail, citing insufficient evidence for continued detention."
"64","Appeal (civil) 6710 of 2020","Adani Ports Ltd.","Ministry of Shipping","2021-12-10","Justice A. Sharma, Justice P. Kulkarni","J U D G M E N T CIVIL APPEAL NO. 6710 OF 2020. The appellant challenged new port tariff regulations. The court upheld the regulations, finding them reasonable and within statutory authority."
"65","Appeal (criminal) 9201 of 2019","Anil Khatri","State of Uttar Pradesh","2020-07-05","Justice S. Bhargava, Justice T. Reddy","J U D G M E N T CRIMINAL APPEAL NO. 9201 OF 2019. The appellant contested his conviction in a bank robbery case. The court upheld the conviction but reduced the sentence based on his cooperation with law enforcement."
"66","Appeal (civil) 2154 of 2018","Jet Airways Ltd.","Directorate General of Civil Aviation","2019-09-20","Justice K. Deshmukh, Justice V. Rao","J U D G M E N T CIVIL APPEAL NO. 2154 OF 2018. The petitioner challenged a suspension order on operational safety grounds. The court partially lifted the suspension, allowing only domestic flights until further review."
"67","Appeal (criminal) 8721 of 2022","Rajesh Verma","State of Tamil Nadu","2023-11-15","Justice R. Sinha, Justice M. Nambiar","J U D G M E N T CRIMINAL APPEAL NO. 8721 OF 2022. The petitioner was convicted under the Wildlife Protection Act for smuggling animal parts. The court dismissed the appeal, reaffirming the need for strict enforcement of wildlife laws."
"68","Appeal (civil) 8015 of 2023","Vistara Airlines","Ministry of Civil Aviation","2024-03-22","Justice P. Nair, Justice M. Karthik","J U D G M E N T CIVIL APPEAL NO. 8015 OF 2023. The petitioner contested a denial of international flight permits. The court directed the Ministry to reconsider the application based on new bilateral agreements."
"69","Appeal (criminal) 6309 of 2020","Kiran Patil","State of Maharashtra","2021-04-05","Justice T. Chopra, Justice D. Sahu","J U D G M E N T CRIMINAL APPEAL NO. 6309 OF 2020. The appellant sought remission of his sentence in a road accident case. The court denied the plea, holding that negligence with fatal consequences demands accountability."
"70","Appeal (civil) 5623 of 2021","Flipkart Pvt. Ltd.","Competition Commission of India","2022-02-11","Justice M. Sharma, Justice A. Raghavan","J U D G M E N T CIVIL APPEAL NO. 5623 OF 2021. The petitioner challenged a fine imposed for anti-competitive practices. The court upheld the fine, emphasizing the importance of fair market competition."
"71","Appeal (criminal) 4140 of 2019","Suresh Raina","State of Punjab","2020-10-05","Justice R. P. Singh, Justice V. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4140 OF 2019. The appellant was convicted for possession of illegal firearms. The court dismissed the appeal, citing sufficient evidence against the appellant."
"72","Appeal (civil) 3102 of 2022","Infosys Technologies","Income Tax Department","2023-03-29","Justice A. Prakash, Justice T. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 3102 OF 2022. The petitioner contested a tax assessment order. The court ruled in favor of the appellant, instructing the tax authorities to re-evaluate the financial records."
"73","Appeal (criminal) 7810 of 2021","Anjali Mehta","State of Karnataka","2022-12-15","Justice P. Joshi, Justice R. Bhatia","J U D G M E N T CRIMINAL APPEAL NO. 7810 OF 2021. The appellant sought acquittal in a theft case. The court found inconsistencies in the prosecution's evidence and acquitted the appellant."
"74","Appeal (civil) 4518 of 2020","Mahindra & Mahindra Ltd.","Ministry of Environment","2021-11-08","Justice S. Ghosh, Justice N. Rao","J U D G M E N T CIVIL APPEAL NO. 4518 OF 2020. The petitioner challenged an environmental clearance rejection for a manufacturing plant. The court directed a review, emphasizing the need for economic growth alongside environmental considerations."
"75","Appeal (criminal) 8693 of 2022","Nitin Sharma","State of Maharashtra","2023-05-20","Justice R. Menon, Justice V. Verma","J U D G M E N T CRIMINAL APPEAL NO. 8693 OF 2022. The appellant was convicted of drug trafficking. The court upheld the conviction, highlighting the severe implications of drug-related offenses."
"76","Appeal (civil) 2841 of 2019","Wipro Limited","Securities and Exchange Board of India","2020-09-18","Justice K. Agarwal, Justice P. Jain","J U D G M E N T CIVIL APPEAL NO. 2841 OF 2019. The petitioner contested a penalty for insider trading violations. The court found merit in the appellant's arguments and quashed the penalty."
